ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410,5 JURONG WEST STREET 41,1.346902,103.726756,",",,,,,648348,103.7023951,1.3354553
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,100 REDHILL CLOSE,1.285631,103.815421,",",,,,,579795,103.8547129,1.3508984
GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561,1 HENDERSON ROAD,32.578057,-91.135805,",",,,,,659762,103.7573862,1.3452693
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central,389706,4 Geylang East Central,1.318207,103.88336,",",,,,,519073,103.9575296,1.3664422
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,2 GEYLANG EAST CENTRAL,1.318124,103.8829,",",,,,,689189,103.7471682,1.39393565
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,1 TAMPINES STREET 42,1.357339,103.948893,",",,,,,379499,103.8882297,1.3265954
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains,828848,50 Edgedale Plains,1.396421,103.912588,",",,,,,689333,103.7411421,1.3905053
GREENDALE SECONDARY SCHOOL,51 Edgedale Plains,828866,51 Edgedale Plains,1.396986,103.911718,",",,,,,519419,103.9568199,1.3719646
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,11 JELAPANG ROAD,1.386135,103.76779,",",,,,,569341,103.8403093,1.36885525
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD,679938,32 BUKIT PANJANG RING ROAD,1.38206,103.773836,",",,,,,297754,103.839888,1.3405501
GREENVIEW SECONDARY SCHOOL,15 PASIR RIS STREET 21,518969,15 PASIR RIS STREET 21,1.369233,103.962377,",",,,,,738927,103.7733846,1.4341551
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DR 62,737942,11 WOODLANDS DR 62,1.43985,103.804609,",",,,,,368051,6.1459345,46.8404602
GRIFFITHS PRIMARY SCHOOL,3 TAMPINES STREET 22,529366,3 TAMPINES STREET 22,1.348251,103.951859,",",,,,,739110,103.7787634,1.4406608
GUANGYANG PRIMARY SCHOOL,6 Bishan Street 12,579806,6 Bishan Street 12,1.346017,103.849681,",",,,,,569878,103.8432421,1.3766642
GUANGYANG SECONDARY SCHOOL,8 Bishan Street 12,579807,8 Bishan Street 12,1.344693,103.850566,",",,,,,518798,103.935208,1.3760329
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,9 PASIR RIS DRIVE 6,1.374513,103.954463,",",,,,,518799,103.9379036,1.37620765
HAIG GIRLS' SCHOOL,51 KOON SENG ROAD,427072,51 KOON SENG ROAD,1.311559,103.902625,",",,,,,828867,103.9094782,1.39324495
HENDERSON SECONDARY SCHOOL,100 HENDERSON RD,159544,100 HENDERSON RD,39.111918,-75.7496,",",,,,,658965,103.741236,1.35066225
